class,job,duration (s)
default_data,trick_mc.mc.process_sim_args,3e-06
default_data,trick_cpr.cpr.find_write_checkpoint_jobs,6e-06
default_data,trick_sie.sie.process_sim_args,2e-06
default_data,trick_real_time.rt_sync.get_sim_start_time,0
default_data,trick_inject.create_injector_executors,5.4e-05
default_data,trick_sys.sched.get_freeze_job,2e-06
default_data,trick_message.mpublisher.subscribe,1e-06
default_data,trick_message.mpublisher.subscribe,1e-06
default_data,trick_message.mpublisher.subscribe,1e-06
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mpublisher.subscribe,0
default_data,trick_message.mdevice.default_data,9.6e-05
default_data,trick_em.create_thread_process_event,1e-06
default_data,trick_vs.vs.default_data,6e-05
default_data,trick_frame_log.frame_log.default_data,0.000226
default_data,ball_integloop.integ_sched.rebuild_jobs,0.000322
default_data,trick_udunits.udunits.read_default_xml,0.009676
input_processor,trick_jit.jit.process_sim_args,8e-06
input_processor,trick_jit.jit.init,3e-06
input_processor,trick_ip.ip.process_sim_args,7e-06
input_processor,trick_ip.ip.init,0.407302
init,trick_master_slave.master.process_sim_args,2e-06
init,trick_master_slave.slave.process_sim_args,1e-06
init,trick_master_slave.master.init,0
init,trick_master_slave.slave.init,1e-06
init,trick_mc.mc.execute_monte,1e-06
init,trick_cpr.cpr.write_pre_init_checkpoint,2e-06
init,trick_message.mpublisher.init,5e-06
init,trick_message.mfile.init,0.000209
init,trick_message.pfile.init,4.2e-05
init,trick_message.mdevice.init,0.000249
init,trick_vs.monte_carlo_disable_all_apps,2e-06
init,trick_vs.Trick::launch_all_external_applications,1e-06
init,trick_data_record.drd.remove_files,0.002747
init,trick_vs.vs.init,0.000181
init,trick_frame_log.frame_log.create_DP_files,0.000566
init,trick_zero_conf.zc.init,2e-06
init,ball_sim.ay_bounce_init,1e-06
init,trick_sys.exec_collect_init,1e-06
init,trick_sys.sched.write_s_run_summary,6.4e-05
init,trick_data_record.drd.init,0.000332
init,trick_data_record_group_ball.init,0.000621
init,trick_sys.sched.check_all_jobs_handled,1.3e-05
init,trick_sys.sched.check_all_job_cycle_times,5e-06
init,trick_sys.sched.create_threads,6e-06
init,trick_sys.sched.write_s_job_execution,0.000314
init,trick_sys.sched.async_freeze_to_exec_command,0
init,trick_cpr.cpr.write_post_init_checkpoint,0
init,trick_em.ep.add_pending_events,2e-06
init,trick_real_time.rt_sync.rt_clock->calc_sim_time_ratio,0
init,trick_real_time.rt_sync.initialize,1e-06
init,trick_real_time.rt_sync.start_realtime,1e-06
init,trick_real_time.rt_sync.get_sim_end_init_time,1e-06
init,ball_integloop.integ_sched.get_first_step_deriv_from_integrator,1e-06
init,ball_integloop.integ_sched.call_deriv_jobs,1e-06
